Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Ubi1_1 Spectral Count	Ubi1_2 Spectral Count	Ubi1_3 Spectral Count	Ubi4_1 Spectral Count	Ubi4_2 Spectral Count	Ubi4_3 Spectral Count	Ubi6_1 Spectral Count	Ubi6_2 Spectral Count	Ubi6_3 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Ubi1_1 Unique Spectral Count	Ubi1_2 Unique Spectral Count	Ubi1_3 Unique Spectral Count	Ubi4_1 Unique Spectral Count	Ubi4_2 Unique Spectral Count	Ubi4_3 Unique Spectral Count	Ubi6_1 Unique Spectral Count	Ubi6_2 Unique Spectral Count	Ubi6_3 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Ubi1_1 Total Spectral Count	Ubi1_2 Total Spectral Count	Ubi1_3 Total Spectral Count	Ubi4_1 Total Spectral Count	Ubi4_2 Total Spectral Count	Ubi4_3 Total Spectral Count	Ubi6_1 Total Spectral Count	Ubi6_2 Total Spectral Count	Ubi6_3 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Ubi1_1 Intensity	Ubi1_2 Intensity	Ubi1_3 Intensity	Ubi4_1 Intensity	Ubi4_2 Intensity	Ubi4_3 Intensity	Ubi6_1 Intensity	Ubi6_2 Intensity	Ubi6_3 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Ubi1_1 MaxLFQ Intensity	Ubi1_2 MaxLFQ Intensity	Ubi1_3 MaxLFQ Intensity	Ubi4_1 MaxLFQ Intensity	Ubi4_2 MaxLFQ Intensity	Ubi4_3 MaxLFQ Intensity	Ubi6_1 MaxLFQ Intensity	Ubi6_2 MaxLFQ Intensity	Ubi6_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q16401|PSMD5_HUMAN	Q16401	PSMD5_HUMAN	PSMD5	504	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 5	1.0	0.999	7	28	28	28	1	0	2	3	2	0	3	4	3	4	2	4	1	0	2	3	2	0	3	4	3	4	2	4	1	0	2	3	2	0	3	4	3	4	2	4	2.5360204E7	6.5736408E7	5.6964976E7	1.09228032E8	1.4178068E7	2.9471208E7	1.3967408E8	1.4188704E8	1.65944864E8	1.50782528E8	8.42366E7	1.80878336E8	0.0	4.0979312E7	4.0809524E7	3.5029608E7	2.2826358E7	0.0	6.8328424E7	6.5798188E7	6.7257816E7	7.7515088E7	4.6322728E7	9.235768E7	
sp|Q16513|PKN2_HUMAN	Q16513	PKN2_HUMAN	PKN2	984	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase N2	1.0	0.999	8	31	27	31	4	3	3	2	3	2	2	1	3	3	2	3	3	3	3	2	2	2	2	1	1	3	2	3	4	3	3	2	3	2	2	1	3	3	2	3	1.00299472E8	3.0137736E7	1.4859574E7	3.7456904E7	5.1876128E7	6273792.0	3.2814202E7	2.2791498E7	1.3618204E7	5.0075116E7	5.0537136E7	1.07796144E8	3.1697662E7	2.2257948E7	1.4326583E7	2.5867778E7	2.1256992E7	0.0	0.0	0.0	0.0	1.9908428E7	3.0621986E7	3.579308E7	
sp|Q16514|TAF12_HUMAN	Q16514	TAF12_HUMAN	TAF12	161	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription initiation factor TFIID subunit 12	0.9806	0.9953	2	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	8858358.0	0.0	0.0	9.1031944E7	4.3833052E7	0.0	7.8154696E7	8.517896E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16527|CSRP2_HUMAN	Q16527	CSRP2_HUMAN	CSRP2	193	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cysteine and glycine-rich protein 2	1.0	0.999	11	150	150	150	13	16	17	16	11	13	11	5	12	9	11	16	13	16	17	16	11	13	11	5	12	9	11	16	13	16	17	16	11	13	11	5	12	9	11	16	7.1479814E8	7.3286259E8	9.1876429E8	6.0458118E8	9.2540934E8	9.7472813E8	4.76992096E8	3.849888E8	7.9670483E8	5.5473677E8	5.6250426E8	5.8133414E8	1.12475448E8	1.2630372E8	1.36271696E8	1.17412448E8	1.58170032E8	1.6919032E8	8.1346144E7	9.329912E7	1.3603976E8	1.23541176E8	9.704936E7	9.1582672E7	
sp|Q16531|DDB1_HUMAN	Q16531	DDB1_HUMAN	DDB1	1140	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA damage-binding protein 1	1.0	0.999	40	346	335	346	25	29	36	30	36	34	31	20	28	29	21	27	24	28	35	29	35	33	30	19	27	28	21	26	25	29	36	30	36	34	31	20	28	29	21	27	2.30202624E9	2.99326131E9	2.89199539E9	2.76893261E9	2.38859699E9	2.61721267E9	2.88805222E9	2.72468378E9	3.38062029E9	3.31238451E9	2.93658266E9	2.8473175E9	2.80227968E8	2.81074496E8	2.70968096E8	2.95136352E8	2.77438112E8	2.96357408E8	3.294072E8	3.26149024E8	3.32261728E8	3.36936416E8	3.33233696E8	3.35151712E8	
sp|Q16537|2A5E_HUMAN	Q16537	2A5E_HUMAN	PPP2R5E	467	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	0.9947	0.999	2	11	8	11	3	0	0	1	0	2	1	0	1	1	1	1	2	0	0	1	0	1	1	0	1	1	1	0	3	0	0	1	0	2	1	0	1	1	1	1	1.3495252E7	0.0	0.0	1.2014903E7	0.0	2.0793204E7	2.891472E7	0.0	1.0558641E7	6336373.0	2.5784952E7	2.1538146E7	0.0	0.0	0.0	0.0	0.0	1.4269655E7	1.7495778E7	0.0	0.0	0.0	1.7413682E7	0.0	
sp|Q16540|RM23_HUMAN	Q16540	RM23_HUMAN	MRPL23	153	Homo sapiens OX=9606	1:Experimental evidence at protein level	39S ribosomal protein L23, mitochondrial	1.0	0.999	3	11	11	11	1	2	0	2	0	1	0	0	2	0	1	2	1	2	0	2	0	1	0	0	2	0	1	2	1	2	0	2	0	1	0	0	2	0	1	2	1.7865446E7	2.0379658E7	1.8401878E7	2.7779364E7	0.0	1.9405528E7	2.9640116E7	0.0	3.6285904E7	0.0	4329621.0	4.2786612E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8051708E7	0.0	0.0	2.8315476E7	
sp|Q16543|CDC37_HUMAN	Q16543	CDC37_HUMAN	CDC37	378	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hsp90 co-chaperone Cdc37	1.0	0.9989	5	17	17	17	1	2	2	2	1	0	2	1	1	3	2	0	1	2	2	2	1	0	2	1	1	3	2	0	1	2	2	2	1	0	2	1	1	3	2	0	3.3189792E7	2.261309E7	3.2604934E7	1.2751711E7	0.0	0.0	0.0	8565613.0	1.1517025E7	3.8804256E7	3.5173848E7	0.0	1.6925906E7	0.0	3.0617448E7	0.0	0.0	0.0	0.0	0.0	0.0	2.0054556E7	2.8606892E7	0.0	
sp|Q16576|RBBP7_HUMAN	Q16576	RBBP7_HUMAN	RBBP7	425	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone-binding protein RBBP7	1.0	0.999	13	114	41	114	10	8	12	10	12	16	9	6	7	9	5	10	4	3	6	2	4	8	4	2	2	3	1	2	10	8	12	10	12	16	9	6	7	9	5	10	7.1140954E8	7.0233933E8	9.3100352E8	8.4681357E8	1.32859251E9	1.23817792E9	1.07964237E9	8.2824493E8	1.03863392E9	5.9542982E8	9.7156781E8	1.59382784E9	2.3790632E8	2.24046496E8	2.21193072E8	2.38465248E8	2.71672384E8	3.15929184E8	3.12586624E8	3.4247904E8	3.42425056E8	3.59844768E8	3.54899872E8	3.9501776E8	
sp|Q16594|TAF9_HUMAN	Q16594	TAF9_HUMAN	TAF9	264	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription initiation factor TFIID subunit 9	1.0	0.9989	5	10	4	10	1	2	1	2	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	2	1	2	1	0	0	1	1	0	1	0	9523779.0	6345877.0	7641238.5	1.1789003E7	0.0	0.0	0.0	0.0	1.3205508E7	0.0	0.0	0.0	0.0	0.0	1.149536E7	0.0	0.0	0.0	0.0	0.0	4877189.0	0.0	0.0	0.0	
sp|Q16600|ZN239_HUMAN	Q16600	ZN239_HUMAN	ZNF239	458	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 239	1.0	0.999	16	88	81	88	10	9	10	3	11	15	4	4	9	5	4	4	9	8	9	3	8	14	4	4	9	5	4	4	10	9	10	3	11	15	4	4	9	5	4	4	1.81676144E8	1.63019072E8	1.75034896E8	1.19371504E8	1.23449456E8	1.93106448E8	1.17523632E8	2.861387E7	8.5229192E7	9.8071064E7	8.3544896E7	6.1655004E7	4.9645948E7	4.66441E7	5.1582576E7	4.681228E7	4.6299648E7	4.8369064E7	5.0586536E7	6.573248E7	4.5455036E7	4.867852E7	4.4504984E7	3.094212E7	
sp|Q16626|MEA1_HUMAN	Q16626	MEA1_HUMAN	MEA1	185	Homo sapiens OX=9606	1:Experimental evidence at protein level	Male-enhanced antigen 1	0.9998	0.999	2	5	5	5	0	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0.0	1.1527246E7	3571634.2	0.0	7109602.0	1.1399317E7	9103591.0	0.0	1.2049721E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16629|SRSF7_HUMAN	Q16629	SRSF7_HUMAN	SRSF7	238	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/arginine-rich splicing factor 7	1.0	0.999	7	54	54	58	5	3	6	4	4	4	4	4	7	5	4	4	5	3	6	4	4	4	4	4	7	5	4	4	6	3	6	4	4	4	4	5	8	5	4	5	6.5110336E8	5.820704E8	4.12909856E8	5.8764454E8	4.51604608E8	4.35093472E8	3.78396672E8	2.9739816E7	3.42828192E8	5.6739507E8	3.94250848E8	2.90071552E8	1.78403872E8	1.68337232E8	1.67836752E8	1.68907424E8	1.32986088E8	1.472592E8	1.66359968E8	5.200674E7	1.50332128E8	1.38765488E8	1.15132696E8	1.30307984E8	
sp|Q16630|CPSF6_HUMAN	Q16630	CPSF6_HUMAN	CPSF6	551	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cleavage and polyadenylation specificity factor subunit 6	1.0	0.999	19	244	244	244	19	21	25	17	23	20	20	19	21	22	16	21	19	21	25	17	23	20	20	19	21	22	16	21	19	21	25	17	23	20	20	19	21	22	16	21	5.2909143E9	6.3549507E9	7.8942505E9	7.1712512E9	6.805439E9	6.7644728E9	6.3711857E9	5.6456648E9	6.3308211E9	8.5292283E9	6.9335035E9	6.1832955E9	1.38521997E9	1.59321267E9	1.90349005E9	1.46381965E9	1.52316442E9	2.02362662E9	1.32111219E9	1.46310131E9	1.76616422E9	1.7861289E9	1.62004339E9	1.4561888E9	
sp|Q16637|SMN_HUMAN	Q16637	SMN_HUMAN	SMN2	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	Survival motor neuron protein	0.9218	0.9984	1	5	5	5	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0.0	0.0	0.0	3761373.0	0.0	0.0	0.0	0.0	0.0	1.0992026E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16643|DREB_HUMAN	Q16643	DREB_HUMAN	DBN1	649	Homo sapiens OX=9606	1:Experimental evidence at protein level	Drebrin	0.9485	0.999	1	2	2	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6651454.0	0.0	0.0	0.0	0.0	1695138.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16658|FSCN1_HUMAN	Q16658	FSCN1_HUMAN	FSCN1	493	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fascin	1.0	0.999	11	62	62	62	2	5	6	4	6	3	5	3	6	4	9	9	2	5	6	4	6	3	5	3	6	4	9	9	2	5	6	4	6	3	5	3	6	4	9	9	3.16475648E8	2.50011856E8	3.0209792E8	3.05019072E8	1.79104688E8	4.1942944E8	2.38421568E8	8.2306656E7	2.84250112E8	2.94554688E8	4.89676192E8	7.4501472E8	8.2725368E7	7.53282E7	6.8102744E7	8.0786256E7	7.4144184E7	8.7183264E7	8.8736496E7	1.1839408E8	8.5056E7	7.983012E7	1.3027224E8	1.6385576E8	
sp|Q16666|IF16_HUMAN	Q16666	IF16_HUMAN	IFI16	785	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gamma-interferon-inducible protein 16	1.0	0.999	5	18	18	18	2	3	2	1	2	1	2	1	2	0	1	1	2	3	2	1	2	1	2	1	2	0	1	1	2	3	2	1	2	1	2	1	2	0	1	1	1.6061931E7	1.66028E7	1.6001606E7	1.3304346E7	1.9389344E7	1.951098E7	1.0218809E7	1512911.1	1.4309818E7	0.0	2811043.8	0.0	1.5430361E7	9554469.0	1.4013663E7	0.0	9633562.0	1.2846825E7	1.0027823E7	0.0	1.0567831E7	0.0	0.0	0.0	
sp|Q16670|ZSC26_HUMAN	Q16670	ZSC26_HUMAN	ZSCAN26	478	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger and SCAN domain-containing protein 26	1.0	0.999	17	105	99	105	10	12	13	11	11	12	7	5	6	10	4	4	9	11	12	10	11	11	7	5	6	10	4	3	10	12	13	11	11	12	7	5	6	10	4	4	3.02679904E8	2.93769568E8	5.5636019E8	3.7709216E8	4.12719648E8	4.63661184E8	2.42770608E8	1.98194688E8	3.28115904E8	2.38389424E8	1.2734616E8	1.76157344E8	8.6081408E7	7.3924888E7	9.496668E7	8.1009488E7	6.953108E7	8.1063776E7	6.1679592E7	6.0943656E7	5.6461028E7	6.0194468E7	4.7144876E7	4.4490652E7	
sp|Q16698|DECR_HUMAN	Q16698	DECR_HUMAN	DECR1	335	Homo sapiens OX=9606	1:Experimental evidence at protein level	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	1.0	0.999	3	19	19	19	2	1	3	1	1	3	2	2	0	2	1	1	2	1	3	1	1	3	2	2	0	2	1	1	2	1	3	1	1	3	2	2	0	2	1	1	7.7182688E7	4.4945992E7	5.9128012E7	6.3821824E7	3.2797526E7	6.2511072E7	1.03788696E8	7.0663584E7	6.0147248E7	5.0450552E7	5.4792888E7	6.6409948E7	5.638354E7	0.0	4.0431888E7	4.0692976E7	0.0	4.4266164E7	6.3777824E7	0.0	0.0	0.0	0.0	0.0	
sp|Q16706|MA2A1_HUMAN	Q16706	MA2A1_HUMAN	MAN2A1	1144	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-mannosidase 2	1.0	0.9989	4	11	9	11	2	0	1	2	1	0	1	1	0	2	1	0	1	0	0	2	1	0	1	1	0	2	1	0	2	0	1	2	1	0	1	1	0	2	1	0	3.1215568E7	0.0	2774021.2	2.063282E7	2.4547986E7	0.0	2.5487388E7	5.1662744E7	0.0	1.7119112E7	2.0695194E7	3.0717784E7	2.530877E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8309258.0	0.0	2.4977638E7	
sp|Q16718|NDUA5_HUMAN	Q16718	NDUA5_HUMAN	NDUFA5	116	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	1.0	0.999	3	25	25	25	3	2	2	3	1	2	1	3	2	3	1	2	3	2	2	3	1	2	1	3	2	3	1	2	3	2	2	3	1	2	1	3	2	3	1	2	8.8734272E7	9.8401616E7	4.1931108E7	1.24051488E8	4.574956E7	9.5588808E7	1.64744112E8	1.01541984E8	4.7016768E7	1.370292E8	1.41717568E8	1.74150752E8	5.4454848E7	6.0831896E7	1.9089786E7	7.5502112E7	0.0	5.8199308E7	1.01917216E8	6.28567E7	2.5874314E7	8.4819104E7	8.7210192E7	1.06610216E8	
sp|Q16773|KAT1_HUMAN	Q16773	KAT1_HUMAN	KYAT1	422	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kynurenine--oxoglutarate transaminase 1	0.9952	0.9987	2	6	6	6	0	2	1	0	1	1	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0.0	1409986.8	4741202.0	0.0	6398013.5	1709627.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16775|GLO2_HUMAN	Q16775	GLO2_HUMAN	HAGH	308	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hydroxyacylglutathione hydrolase, mitochondrial	0.9961	0.9985	2	12	12	12	2	0	1	2	0	2	1	1	0	0	1	2	2	0	1	2	0	2	1	1	0	0	1	2	2	0	1	2	0	2	1	1	0	0	1	2	2.033089E7	1.4961221E7	1.3460435E7	1130340.9	0.0	1.2500768E7	2.2205776E7	1.5773558E7	2.4231374E7	2.2011562E7	1.6605412E7	2.041628E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16790|CAH9_HUMAN	Q16790	CAH9_HUMAN	CA9	459	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carbonic anhydrase 9	1.0	0.9989	3	16	16	16	2	1	0	0	2	2	1	1	1	1	2	3	2	1	0	0	2	2	1	1	1	1	2	3	2	1	0	0	2	2	1	1	1	1	2	3	8.7142056E7	1.06859344E8	1.07363808E8	1.2627064E8	2.4636912E7	1.9266778E7	9.6991792E7	8.6534088E7	1.24248496E8	1.21633352E8	8.1917568E7	1.4104288E8	0.0	0.0	8.8952472E7	9.8508392E7	3.1745512E7	0.0	4.3507668E7	0.0	1.06741584E8	1.13077072E8	6.849312E7	1.23761896E8	
sp|Q16795|NDUA9_HUMAN	Q16795	NDUA9_HUMAN	NDUFA9	377	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	1.0	0.999	10	68	68	68	6	4	8	6	5	8	4	5	8	3	5	6	6	4	8	6	5	8	4	5	8	3	5	6	6	4	8	6	5	8	4	5	8	3	5	6	9.3138992E7	1.9362512E8	1.78997408E8	1.31256472E8	1.92410624E8	1.13490432E8	2.34209984E8	2.57287328E8	3.92147872E8	2.22022E8	9.2518744E7	5.584618E7	2.0678704E7	6.1146376E7	5.7637852E7	4.100828E7	4.942904E7	4.7514332E7	1.24152488E8	1.42587664E8	1.02235096E8	6.4694472E7	6.6190012E7	4.691948E7	
sp|Q16798|MAON_HUMAN	Q16798	MAON_HUMAN	ME3	604	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADP-dependent malic enzyme, mitochondrial	0.9993	0.9943	3	3	3	4	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3610297E7	1.8775212E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16822|PCKGM_HUMAN	Q16822	PCKGM_HUMAN	PCK2	640	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	1.0	0.999	19	194	194	194	16	14	18	16	16	14	18	17	16	17	17	15	16	14	18	16	16	14	18	17	16	17	17	15	16	14	18	16	16	14	18	17	16	17	17	15	1.26685146E9	9.6741069E8	1.32490061E9	1.3879447E9	1.38525811E9	1.2374249E9	1.92908595E9	1.5903511E9	1.98550464E9	1.77103283E9	1.35043354E9	1.58686349E9	1.75245792E8	1.68239488E8	1.73548416E8	1.92804272E8	1.88048912E8	1.93189488E8	2.75006272E8	2.44057216E8	2.86524864E8	2.35656864E8	2.22499568E8	2.5607496E8	
sp|Q16831|UPP1_HUMAN	Q16831	UPP1_HUMAN	UPP1	310	Homo sapiens OX=9606	1:Experimental evidence at protein level	Uridine phosphorylase 1	0.9199	0.9984	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16851|UGPA_HUMAN	Q16851	UGPA_HUMAN	UGP2	508	Homo sapiens OX=9606	1:Experimental evidence at protein level	UTP--glucose-1-phosphate uridylyltransferase	1.0	0.999	16	142	142	142	15	13	16	8	14	9	10	15	13	12	5	12	15	13	16	8	14	9	10	15	13	12	5	12	15	13	16	8	14	9	10	15	13	12	5	12	1.95637606E9	1.73864691E9	1.72728794E9	1.45957158E9	1.6941353E9	1.26770432E9	1.72097357E9	1.23782157E9	1.77927616E9	1.5591584E9	1.45342195E9	1.23665459E9	3.87225728E8	3.18197888E8	3.11140832E8	3.51051904E8	3.02619264E8	3.1080352E8	3.33258304E8	3.30680384E8	3.20665184E8	3.25959072E8	3.46757024E8	3.3033056E8	
sp|Q16875|F263_HUMAN	Q16875	F263_HUMAN	PFKFB3	520	Homo sapiens OX=9606	1:Experimental evidence at protein level	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	1.0	0.999	6	24	14	24	2	1	1	3	2	3	2	3	2	0	3	2	1	1	1	2	1	3	0	1	1	0	2	1	2	1	1	3	2	3	2	3	2	0	3	2	0.0	2.060809E7	1.370674E7	1.0855947E7	3938558.8	6749945.5	3.4736436E7	4.0751724E7	1.7254364E7	2.663463E7	3.204771E7	8.0235128E7	0.0	0.0	0.0	0.0	0.0	0.0	3.6746944E7	0.0	1.4748973E7	0.0	0.0	3.145999E7	
sp|Q16880|CGT_HUMAN	Q16880	CGT_HUMAN	UGT8	541	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacylsphingosine 1-beta-galactosyltransferase	1.0	0.999	8	55	55	55	7	5	4	5	5	6	3	1	6	7	2	4	7	5	4	5	5	6	3	1	6	7	2	4	7	5	4	5	5	6	3	1	6	7	2	4	3.87002432E8	3.29741504E8	4.18993216E8	4.13371072E8	2.68798912E8	3.34027968E8	2.90035648E8	7.636264E7	3.10192512E8	3.93166272E8	1.24794816E8	4.14945792E8	1.08556816E8	1.1110832E8	1.22371904E8	1.23079984E8	1.02220144E8	9.8155456E7	8.7923544E7	0.0	1.07390448E8	9.9570152E7	1.58200224E8	1.15559312E8	
sp|Q16881|TRXR1_HUMAN	Q16881	TRXR1_HUMAN	TXNRD1	649	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin reductase 1, cytoplasmic	1.0	0.999	3	8	5	8	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	7970242.0	0.0	0.0	0.0	0.0	3600264.8	0.0	1.1617753E7	2.5907194E7	3719968.0	2.8627882E7	7.7045464E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q16891|MIC60_HUMAN	Q16891	MIC60_HUMAN	IMMT	758	Homo sapiens OX=9606	1:Experimental evidence at protein level	MIC	1.0	0.9986	5	11	11	11	2	1	2	2	0	1	1	0	1	0	0	1	2	1	2	2	0	1	1	0	1	0	0	1	2	1	2	2	0	1	1	0	1	0	0	1	5.1169256E7	4.9133664E7	5.1183512E7	7.9206568E7	0.0	2.6433772E7	7.8283416E7	0.0	3.9656596E7	6.5275864E7	4.5467376E7	1.231741E7	3.3538274E7	0.0	2.4062538E7	3.294753E7	0.0	0.0	4.1597676E7	0.0	0.0	3.4409048E7	0.0	1.0508879E7	
sp|Q17RY0|CPEB4_HUMAN	Q17RY0	CPEB4_HUMAN	CPEB4	729	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytoplasmic polyadenylation element-binding protein 4	1.0	0.999	24	235	157	235	20	24	27	20	27	22	16	6	23	21	16	13	16	17	18	13	16	15	12	3	16	14	9	8	20	24	27	20	27	22	16	6	23	21	16	13	1.93049024E9	1.92715866E9	2.22811853E9	1.81816461E9	2.05925568E9	1.68737024E9	1.60998042E9	1.28120499E9	2.13879322E9	1.6755401E9	1.49228557E9	1.48510208E9	2.5181768E8	3.18407232E8	3.23375264E8	2.82559232E8	3.07230496E8	2.8272768E8	2.86164128E8	2.70780608E8	2.89393408E8	2.898248E8	2.77428768E8	2.6789512E8	
sp|Q17RY6|LY6K_HUMAN	Q17RY6	LY6K_HUMAN	LY6K	165	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lymphocyte antigen 6K	0.9472	0.999	1	17	17	17	1	2	1	1	2	1	0	2	2	1	3	1	1	2	1	1	2	1	0	2	2	1	3	1	1	2	1	1	2	1	0	2	2	1	3	1	0.0	2.7402166E7	5608399.5	1.4797021E7	1.51998E7	2.2174704E7	0.0	8038616.5	3882782.5	1.0426725E7	0.0	1.516532E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1ED39|KNOP1_HUMAN	Q1ED39	KNOP1_HUMAN	KNOP1	458	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysine-rich nucleolar protein 1	0.9983	0.9988	2	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0.0	5538480.0	8726474.0	9348069.0	0.0	0.0	3636859.2	0.0	0.0	3959928.2	6810967.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1KMD3|HNRL2_HUMAN	Q1KMD3	HNRL2_HUMAN	HNRNPUL2	747	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein U-like protein 2	0.9992	0.999	1	9	9	9	1	1	1	1	1	1	0	0	2	1	0	0	1	1	1	1	1	1	0	0	2	1	0	0	1	1	1	1	1	1	0	0	2	1	0	0	1.572053E7	4654386.5	0.0	1.2157934E7	1.926899E7	8219745.0	0.0	0.0	1.1066654E7	5139573.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q27J81|INF2_HUMAN	Q27J81	INF2_HUMAN	INF2	1249	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inverted formin-2	0.9999	0.999	2	7	7	7	0	1	1	0	1	0	1	0	2	1	0	0	0	1	1	0	1	0	1	0	2	1	0	0	0	1	1	0	1	0	1	0	2	1	0	0	0.0	4756541.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
